sample,factor,value,group
F368,Factor2,-0.0538663797684323,single_group
F387,Factor2,-4.02815750806271,single_group
F384,Factor2,-0.0562491871586189,single_group
F403,Factor2,1.08335201167165,single_group
F406,Factor2,0.124193286826187,single_group
F409,Factor2,0.943065844784958,single_group
F407,Factor2,-0.279635652388174,single_group
F385,Factor2,-2.18527025115948,single_group
F310,Factor2,0.108207193310774,single_group
F270,Factor2,-0.632722116295412,single_group
F296,Factor2,1.25161870742462,single_group
F259,Factor2,1.10888525885599,single_group
F367,Factor2,0.457199245718917,single_group
F402,Factor2,1.29274033266642,single_group
F396,Factor2,-1.82711784554519,single_group
F241,Factor2,-0.143709668402572,single_group
F340,Factor2,1.60564056024269,single_group
F319,Factor2,-1.01262496866732,single_group
F308,Factor2,2.78497740098712,single_group
F212,Factor3,-0.0435062533353684,single_group
F213,Factor3,-0.157650991612949,single_group
F214,Factor3,1.44364248271506,single_group
F215,Factor3,-1.42359260899952,single_group
F216,Factor3,-0.659928579055653,single_group
F217,Factor3,0.326142390662334,single_group
F218,Factor3,-1.08208347643787,single_group
F219,Factor3,-0.232239344196358,single_group
F220,Factor3,0.12749497422347,single_group
F221,Factor3,-0.165667025389269,single_group
F223,Factor3,0.265515312826089,single_group
F224,Factor3,-0.0129397415831315,single_group
F225,Factor3,0.0946717665861385,single_group
F226,Factor3,-1.08836086483367,single_group
F227,Factor3,-0.167864139127304,single_group
F229,Factor3,-0.589103786873619,single_group
F230,Factor3,-0.979524109017788,single_group
F231,Factor3,-0.635899881586476,single_group
F232,Factor3,-0.617461887179606,single_group
F233,Factor3,-0.271319662638614,single_group
F234,Factor3,-1.4526352432875,single_group
F235,Factor3,1.05611361646534,single_group
F236,Factor3,-0.941400260878525,single_group
F237,Factor3,-0.733888409371731,single_group
F239,Factor3,3.21559222592364,single_group
F240,Factor3,-0.723059472708452,single_group
F242,Factor3,-1.4650816021453,single_group
F243,Factor3,0.906071417296108,single_group
F244,Factor3,-0.00290608715599641,single_group
F245,Factor3,-0.778553689769822,single_group
F247,Factor3,-1.34824517941125,single_group
F248,Factor3,1.18533154478994,single_group
F249,Factor3,2.8026828601126,single_group
F250,Factor3,-0.577648788104899,single_group
F251,Factor3,1.84474411563173,single_group
F252,Factor3,-0.902520537160786,single_group
F253,Factor3,0.641340882030402,single_group
F255,Factor3,-0.070825555979064,single_group
F256,Factor3,2.4111998989052,single_group
F257,Factor3,-0.781898820615542,single_group
F258,Factor3,-1.06712658385921,single_group
F260,Factor3,-0.89661407297517,single_group
F261,Factor3,-0.205836113391667,single_group
F262,Factor3,-1.30429600646594,single_group
F263,Factor3,-1.09496737000632,single_group
F264,Factor3,0.238971286668012,single_group
F265,Factor3,0.00263427727836201,single_group
F266,Factor3,-1.20046752696584,single_group
F267,Factor3,-0.480936879438948,single_group
F268,Factor3,1.49436570236204,single_group
F269,Factor3,2.5390256720976,single_group
F271,Factor3,2.98337284355696,single_group
F273,Factor3,-0.286891619586616,single_group
F274,Factor3,0.0110799237615756,single_group
F275,Factor3,0.178314077928104,single_group
F276,Factor3,-0.173340806829689,single_group
F277,Factor3,2.4510340914623,single_group
F278,Factor3,0.82017367853723,single_group
F279,Factor3,2.24209335553603,single_group
F280,Factor3,-0.528032557541763,single_group
F281,Factor3,2.20968973111142,single_group
F282,Factor3,0.065884716266824,single_group
F283,Factor3,-0.362356004668626,single_group
F285,Factor3,-0.618090062906631,single_group
F286,Factor3,-0.989028000783248,single_group
F287,Factor3,-0.194666998194824,single_group
F288,Factor3,1.16696038440011,single_group
F289,Factor3,-1.43710705337753,single_group
F290,Factor3,-0.89554402483701,single_group
F291,Factor3,-0.54802817644915,single_group
F292,Factor3,0.669947920533331,single_group
F293,Factor3,-1.25550374732206,single_group
F294,Factor3,0.381489835296788,single_group
F295,Factor3,0.316058166138565,single_group
F297,Factor3,-0.710472040696161,single_group
